0,1,2
63,148,19
62,145,11
62,145,5
65,144,3
64,137,4
52,120,1
34,97,0
19,78,0
4,6,0
4,5,0
3,2,7
4,5,10
5,9,10
10,16,6
13,23,0
16,27,0
11,28,12
4,13,0
3,25,12
8,15,31
27,8,27
13,17,3
4,0,0
147,64,120
245,145,215
253,147,221
241,128,206
241,119,202
250,122,205
228,99,179
210,82,157
226,100,171
231,131,217
182,104,164
78,35,63
8,0,7
10,24,27
28,53,57
38,66,67
36,65,60
33,58,55
27,52,49
18,43,39
11,36,32
12,37,33
19,44,40
29,54,50
36,61,57
38,73,75
42,76,77
47,77,77
47,73,72
42,64,62
31,50,46
20,35,30
14,26,22
17,21,20
13,19,15
13,23,14
21,35,20
29,48,29
28,51,31
18,43,22
6,33,14
18,39,22
10,32,11
11,35,9
23,50,19
31,58,25
31,60,29
40,70,42
54,84,58
69,77,62
57,65,52
41,51,40
34,44,35
37,49,37
45,59,42
52,67,46
54,72,46
56,68,56
71,82,74
83,97,97
80,95,98
57,77,76
33,57,44
17,45,22
11,42,10
17,34,16
24,42,28
28,51,41
23,50,43
18,45,38
21,49,37
37,61,47
50,73,55
41,77,49
36,72,34
30,66,18
31,64,17
36,71,31
41,79,40
39,83,34
33,83,22
43,70,27
41,67,30
37,61,35
33,56,36
31,54,38
31,54,34
33,57,33
34,59,29
33,64,30
28,59,28
19,51,27
13,45,24
11,44,25
14,47,28
18,53,31
22,57,33
25,64,37
27,63,35
28,62,35
26,59,32
24,52,29
23,48,29
25,46,31
25,45,34
24,58,41
25,58,41
30,62,41
41,71,45
52,82,48
55,88,43
50,87,33
46,84,25
45,65,56
45,66,61
45,65,64
44,65,66
43,65,62
40,66,53
37,67,43
37,68,37
45,76,45
44,78,41
45,81,35
45,83,32
43,82,35
40,80,45
37,76,55
36,74,61
43,74,68
43,74,68
42,73,67
40,71,65
39,70,64
37,68,62
36,67,61
36,67,61
38,77,50
35,70,46
40,69,51
50,74,60
50,74,61
42,68,57
40,68,56
43,73,61
38,68,58
43,73,63
48,78,70
45,76,68
38,71,64
33,65,60
29,64,58
31,66,62
33,51,61
40,61,64
41,67,68
32,61,69
20,46,71
16,39,70
25,45,69
37,55,69
34,65,70
33,64,66
35,65,63
42,72,64
51,79,64
54,83,61
52,81,53
48,77,47
33,65,44
34,66,43
37,69,45
39,72,45
41,74,45
42,75,44
43,77,44
43,77,44
41,74,63
34,67,56
28,60,49
29,60,52
37,67,59
43,70,65
41,68,63
39,64,60
39,65,56
39,64,58
38,63,60
37,61,65
36,59,67
36,58,72
35,56,75
35,56,77
33,54,73
31,52,71
29,50,71
27,48,69
27,47,71
29,49,74
31,51,76
33,53,80
34,52,88
35,53,89
36,54,90
37,55,91
39,57,93
41,59,95
42,60,96
42,60,96
44,56,104
43,55,103
40,53,98
38,51,95
35,49,88
32,46,83
30,44,79
28,42,77
35,49,88
32,45,87
29,41,83
25,37,79
23,35,73
28,38,73
35,47,73
40,52,74
21,38,48
24,41,49
28,42,51
26,40,49
23,36,44
25,36,42
30,41,47
36,45,52
40,41,36
36,39,32
33,39,29
34,45,31
39,51,37
39,56,40
35,53,39
30,50,38
26,43,33
27,43,40
30,45,48
32,46,55
35,49,60
38,53,60
40,55,58
41,57,56
32,55,35
32,55,35
31,54,34
56,141,14
58,141,9
61,143,6
68,147,6
74,147,13
70,140,16
59,126,13
51,114,10
44,73,19
33,61,13
17,45,4
8,36,0
11,42,0
28,63,9
50,87,20
63,103,30
52,87,23
36,63,0
12,53,0
0,20,1
6,3,0
0,17,0
0,9,0
140,70,120
243,148,214
252,151,221
240,132,208
235,118,199
242,121,201
227,105,182
213,92,163
225,104,173
239,140,223
226,148,208
137,94,124
17,7,16
12,26,27
19,45,46
28,58,58
41,71,71
26,57,42
21,52,37
14,45,30
10,41,26
10,41,25
15,46,30
22,53,37
27,58,42
41,77,75
45,79,78
53,83,83
57,83,82
54,74,73
40,56,56
22,34,34
8,18,19
18,19,23
13,17,18
15,21,19
26,37,29
38,54,41
42,60,44
29,50,33
16,39,21
17,38,23
11,32,13
13,36,10
25,48,19
35,59,27
40,64,32
51,74,45
64,87,59
80,87,71
74,80,66
62,68,58
45,52,44
