,Age,MonthlyCharges,Contract Type,Tenure,Churn
0,44,667,prepaid,4,1
1,48,1506,postpaid,40,0
2,61,1362,postpaid,48,0
3,67,684,postpaid,37,0
4,59,476,prepaid,43,0
5,21,877,postpaid,5,0
6,29,860,postpaid,36,1
7,43,1014,prepaid,14,0
8,26,1659,prepaid,30,0
9,54,1222,prepaid,33,1
10,54,1686,prepaid,14,1
11,64,1073,prepaid,40,0
12,23,794,postpaid,37,0
13,28,1833,postpaid,27,1
14,28,1284,postpaid,9,1
15,39,648,prepaid,2,0
16,21,599,postpaid,37,1
17,48,1266,postpaid,29,1
18,53,281,prepaid,25,0
19,47,888,postpaid,3,1
20,33,1819,postpaid,12,0
21,48,960,prepaid,19,1
22,34,773,postpaid,21,1
23,48,223,prepaid,37,1
24,22,905,postpaid,1,1
25,22,349,postpaid,7,0
26,53,1809,prepaid,14,1
27,44,1614,prepaid,30,1
28,20,1468,prepaid,19,0
29,61,447,postpaid,48,1
30,26,1615,prepaid,26,1
31,61,965,postpaid,18,0
32,61,1434,postpaid,8,1
33,34,226,postpaid,20,1
34,50,1738,postpaid,16,1
35,48,1310,postpaid,16,0
36,33,1257,prepaid,9,0
37,61,1249,prepaid,2,1
38,67,827,postpaid,43,1
39,33,1573,postpaid,30,0
40,27,1587,postpaid,10,0
41,55,603,prepaid,5,1
42,60,1590,postpaid,15,0
43,39,920,prepaid,5,1
44,32,1302,prepaid,48,1
45,48,1637,prepaid,22,0
46,66,395,prepaid,13,1
47,65,1840,postpaid,3,0
48,40,840,postpaid,3,1
49,42,268,postpaid,41,0
50,26,1551,postpaid,37,1
51,44,1210,prepaid,12,0
52,32,1308,prepaid,33,1
53,69,1918,postpaid,28,1
54,61,1826,prepaid,43,1
55,29,1091,postpaid,44,1
56,28,607,prepaid,10,1
57,60,678,prepaid,15,0
58,47,1977,postpaid,32,1
59,50,810,postpaid,2,0
60,25,1224,prepaid,40,0
61,25,1090,prepaid,45,1
62,60,382,prepaid,36,1
63,41,576,postpaid,25,0
64,23,659,postpaid,39,1
65,48,1251,postpaid,31,0
66,59,793,prepaid,12,1
67,59,1078,postpaid,36,0
68,46,780,postpaid,29,0
69,40,232,prepaid,41,0
70,22,308,prepaid,40,1
71,66,1943,postpaid,33,0
72,46,1056,prepaid,38,1
73,60,462,prepaid,18,1
74,48,939,postpaid,25,1
75,55,1792,postpaid,15,0
76,68,1004,prepaid,7,1
77,42,1096,prepaid,41,0
78,69,1752,prepaid,8,1
79,20,284,prepaid,9,1
80,19,912,postpaid,4,1
81,22,1497,prepaid,7,0
82,69,806,postpaid,35,0
83,43,1683,postpaid,30,0
84,37,922,prepaid,48,0
85,39,311,postpaid,28,1
86,52,439,prepaid,12,1
87,55,614,postpaid,43,0
88,42,1517,prepaid,15,1
89,37,692,postpaid,35,1
90,45,225,prepaid,48,0
91,52,1372,postpaid,10,0
92,50,798,prepaid,1,0
93,52,1814,prepaid,27,1
94,27,1408,postpaid,6,0
95,44,1651,prepaid,47,0
96,19,1700,postpaid,10,0
97,27,977,postpaid,21,1
98,54,746,prepaid,48,0
99,26,734,prepaid,2,0
100,38,741,postpaid,36,0
101,30,330,postpaid,6,1
102,18,1382,postpaid,40,0
103,61,771,prepaid,6,1
104,20,397,prepaid,32,1
105,66,1411,postpaid,44,1
106,66,1981,prepaid,19,0
107,26,829,prepaid,11,1
108,39,1913,prepaid,37,0
109,35,974,postpaid,40,0
110,61,1926,prepaid,25,1
111,39,501,postpaid,12,0
112,49,1619,prepaid,6,0
113,44,725,postpaid,28,0
114,30,1018,postpaid,28,0
115,49,1624,postpaid,47,1
116,39,1596,prepaid,6,1
117,26,1351,prepaid,46,1
118,44,1589,prepaid,11,0
119,47,602,prepaid,27,0
120,58,219,prepaid,36,1
121,31,1726,prepaid,41,0
122,68,540,prepaid,31,0
123,49,437,postpaid,14,0
124,58,1383,prepaid,43,0
125,47,1909,postpaid,40,1
126,58,452,prepaid,11,1
127,44,284,postpaid,4,0
128,21,413,postpaid,12,0
129,27,998,prepaid,32,0
130,62,1249,postpaid,15,1
131,59,220,postpaid,26,0
132,66,1357,postpaid,39,0
133,50,1531,prepaid,13,1
134,42,1610,postpaid,27,1
135,55,448,prepaid,44,0
136,46,1768,prepaid,17,1
137,34,1795,postpaid,30,1
138,58,1107,postpaid,9,1
139,67,832,postpaid,2,1
140,52,1539,postpaid,15,0
141,26,1445,prepaid,9,1
142,38,470,prepaid,18,0
143,34,741,prepaid,12,1
144,33,259,prepaid,30,0
145,45,1555,postpaid,36,1
146,58,206,prepaid,39,0
147,47,1854,postpaid,17,1
148,68,890,postpaid,27,1
149,48,426,postpaid,7,1
150,65,1068,prepaid,2,0
151,69,1158,postpaid,40,1
152,22,1091,postpaid,39,0
153,64,350,prepaid,33,0
154,42,268,postpaid,44,0
155,32,597,prepaid,12,0
156,69,1338,postpaid,27,0
157,54,692,postpaid,28,0
158,29,1995,prepaid,40,1
159,42,758,prepaid,19,0
160,57,1365,prepaid,32,0
161,65,1737,prepaid,13,1
162,45,424,prepaid,37,1
163,27,901,prepaid,40,0
164,61,207,postpaid,6,0
165,65,826,postpaid,37,0
166,61,1056,prepaid,3,1
167,62,1920,prepaid,15,0
168,25,593,postpaid,3,1
169,20,1814,postpaid,7,1
170,46,759,postpaid,39,1
171,37,1617,prepaid,41,1
172,50,798,postpaid,39,1
173,30,1606,prepaid,16,1
174,24,336,postpaid,29,1
175,31,1602,prepaid,39,0
176,24,1954,prepaid,13,0
177,69,773,prepaid,33,0
178,45,361,postpaid,12,0
179,39,1743,postpaid,16,0
180,32,1269,prepaid,29,0
181,54,1495,postpaid,20,0
182,45,774,postpaid,11,0
183,55,1342,postpaid,46,0
184,36,444,prepaid,17,1
185,29,924,postpaid,18,0
186,36,1482,prepaid,35,0
187,40,1793,postpaid,37,1
